window,ticker,data_source,signal_type,signal_date,entry_date,entry_open,regime,spy_close,spy_ma50,spy_ma200,macd_hist,macd_hist_1,macd_hist_2,macd_pass,swing_start,swing_low,swing_distance_pct,stop_hit_20d,days_to_stop,mfe_20d_pct,mae_20d_pct,mfe_before_stop_pct,mae_before_stop_pct,ret_5d_pct,ret_10d_pct,ret_15d_pct,ret_20d_pct,hit_2pct_before_stop,days_to_2pct,hit_3pct_before_stop,days_to_3pct,hit_5pct_before_stop,days_to_5pct,macd_group
BEAR_2022,CTAS,yfinance,MACD_PASS,2022-01-12,2022-01-13,97.26968348116858,GREEN,443.191650390625,438.34759643554685,411.9108235168457,-0.9077848606073871,-1.0942807694720642,-1.2564767246149737,True,2022-01-05,93.42931556150522,4.110452802295472,True,3.0,0.3466341421913377,-8.621568136661873,0.3466341421913377,-4.747145918166562,-6.701558610107005,-5.029855333561805,-6.136148592826373,-7.6799941897709445,False,,False,,False,,MACD_PASS
BEAR_2022,NUE,yfinance,MACD_FAIL,2022-01-12,2022-01-13,106.71646836468072,GREEN,443.191650390625,438.34759643554685,411.9108235168457,-0.35554187311823804,-0.4358885356532334,-0.17233284432682705,False,2022-01-11,100.55686940257469,6.125487993710665,True,2.0,8.210525079058506,-22.368415170348488,1.9035071657415026,-7.56139289717761,-18.377189759421807,-12.464906796612585,-2.403509972922291,3.8684287736334477,False,,False,,False,,MACD_FAIL
BEAR_2022,ROP,yfinance,MACD_PASS,2022-01-12,2022-01-13,452.3666019576257,GREEN,443.191650390625,438.34759643554685,411.9108235168457,-2.1960350443684615,-2.638524852922396,-2.689214456817791,True,2022-01-07,432.3210359859858,4.636731572851249,True,3.0,0.13740706988596418,-10.356829354441954,0.13740706988596418,-6.286232792125479,-5.977082360352459,-6.50737454720105,-3.827997816846096,-6.000707570111807,False,,False,,False,,MACD_PASS
BEAR_2022,SPGI,yfinance,MACD_PASS,2022-01-12,2022-01-13,407.71207551176116,GREEN,443.191650390625,438.34759643554685,411.9108235168457,-3.172620273449218,-3.7976570696952625,-3.8296645514596124,True,2022-01-05,389.94978702319946,4.555019410102901,True,2.0,0.5001889340131349,-13.584313771093504,0.5001889340131349,-6.071495006871719,-6.899951716243291,-9.202145491029734,-7.46711125567685,-13.268849749206456,False,,False,,False,,MACD_PASS
BEAR_2022,PG,yfinance,MACD_FAIL,2022-01-19,2022-01-20,142.4562194370952,GREEN,425.0601501464844,438.0079052734375,413.05893020629884,-0.7177174452422954,-0.974287621720678,-0.8559356971105219,False,2022-01-18,138.0807881584662,3.168747323203003,False,,3.26631109336617,-4.221830055454845,3.26631109336617,-4.221830055454845,-0.6182704613820422,2.510635517314408,-1.8423585915753105,-0.18735836332833822,True,0.0,True,1.0,False,,MACD_FAIL
BEAR_2022,CB,yfinance,MACD_FAIL,2022-01-24,2022-01-25,183.1850307303101,GREEN,413.8538818359375,436.68198059082033,413.577098236084,-0.5822858749447095,-0.7538687536776705,-0.6156015116770843,False,2022-01-21,177.07540382885165,3.45029674892825,False,,9.00199793299954,-2.5528805530264598,9.00199793299954,-2.5528805530264598,2.8720089542991767,7.004979785231846,4.817530263756287,3.6646145556764598,True,2.0,True,5.0,True,6.0,MACD_FAIL
BEAR_2022,ED,yfinance,MACD_PASS,2022-01-24,2022-01-25,69.67709399811079,GREEN,413.8538818359375,436.68198059082033,413.577098236084,-0.410186059007656,-0.42306262750428536,-0.4737647015596773,True,2022-01-20,68.62347466854963,1.5353628399758623,False,,7.782156021495701,-0.6884575697809536,7.782156021495701,-0.6884575697809536,5.790500128806908,6.24538123653553,0.9855549525873641,4.758857413382711,True,2.0,True,3.0,True,4.0,MACD_PASS
BEAR_2022,DOV,yfinance,MACD_FAIL,2022-01-25,2022-01-26,162.13745547061492,YELLOW,408.801025390625,436.16115478515627,413.7037190246582,-1.2598282515800223,-1.0686871496493409,-0.985191570184998,False,2022-01-21,156.8705930979354,3.3574567856649695,True,6.0,2.117001695839993,-11.757171478109797,2.117001695839993,-5.464531428315356,-0.7056503743162468,-2.262778992978143,-4.968804985996322,-9.39524080217412,True,1.0,False,,False,,MACD_FAIL
BEAR_2022,GPC,yfinance,MACD_FAIL,2022-01-25,2022-01-26,116.74273707984011,YELLOW,408.801025390625,436.16115478515627,413.7037190246582,-0.8351761585878208,-0.7953408708753232,-0.9691302578590445,False,2022-01-19,112.45922288540106,3.8089487767526853,True,11.0,2.0375821359811974,-13.060153520054929,2.0375821359811974,-4.81954633358389,1.684197818031663,-0.6766895653918747,-2.285712975101162,-9.12782021778147,True,5.0,False,,False,,MACD_FAIL
BEAR_2022,GWW,yfinance,MACD_FAIL,2022-01-25,2022-01-26,466.1045348784898,YELLOW,408.801025390625,436.16115478515627,413.7037190246582,-3.0399125189824376,-2.7725371212712506,-2.8943166012286814,False,2022-01-21,454.5218825829521,2.5483156563806952,True,11.0,7.641401781085433,-6.7405363379930305,7.641401781085433,-3.8309440536534622,2.66527367356324,0.2253512397914159,-2.396915386577214,-4.148342814363081,True,4.0,True,4.0,True,6.0,MACD_FAIL
BEAR_2022,ITW,yfinance,MACD_FAIL,2022-01-25,2022-01-26,211.1882123363355,YELLOW,408.801025390625,436.16115478515627,413.7037190246582,-1.3638743623384013,-1.1511756952940284,-1.0954955452897146,False,2022-01-21,206.6879843180967,2.177305097384319,True,7.0,5.057207594607349,-10.97784521328422,5.057207594607349,-4.215067533309935,0.36577847527268226,-3.555775791389182,-6.3927612073355515,-8.919236054772705,True,6.0,True,6.0,True,6.0,MACD_FAIL
